Name,Genre,Platform,Publisher,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii Sports,Sports,Wii,Nintendo,2006.0,41.49,29.02,3.77,8.46,82.74
Super Mario Bros.,Platform,NES,Nintendo,1985.0,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,Racing,Wii,Nintendo,2008.0,15.85,12.88,3.79,3.31,35.82
Wii Sports Resort,Sports,Wii,Nintendo,2009.0,15.75,11.01,3.28,2.96,33.0
Pokemon Red/Pokemon Blue,Role-Playing,GB,Nintendo,1996.0,11.27,8.89,10.22,1.0,31.37
Tetris,Puzzle,GB,Nintendo,1989.0,23.2,2.26,4.22,0.58,30.26
New Super Mario Bros.,Platform,DS,Nintendo,2006.0,11.38,9.23,6.5,2.9,30.01
Wii Play,Misc,Wii,Nintendo,2006.0,14.03,9.2,2.93,2.85,29.02
New Super Mario Bros. Wii,Platform,Wii,Nintendo,2009.0,14.59,7.06,4.7,2.26,28.62
Duck Hunt,Shooter,NES,Nintendo,1984.0,26.93,0.63,0.28,0.47,28.31
Nintendogs,Simulation,DS,Nintendo,2005.0,9.07,11.0,1.93,2.75,24.76
Mario Kart DS,Racing,DS,Nintendo,2005.0,9.81,7.57,4.13,1.92,23.42
Pokemon Gold/Pokemon Silver,Role-Playing,GB,Nintendo,1999.0,9.0,6.18,7.2,0.71,23.1
Wii Fit,Sports,Wii,Nintendo,2007.0,8.94,8.03,3.6,2.15,22.72
Wii Fit Plus,Sports,Wii,Nintendo,2009.0,9.09,8.59,2.53,1.79,22.0
Kinect Adventures!,Misc,X360,Microsoft Game Studios,2010.0,14.97,4.94,0.24,1.67,21.82
Grand Theft Auto V,Action,PS3,Take-Two Interactive,2013.0,7.01,9.27,0.97,4.14,21.4
Grand Theft Auto: San Andreas,Action,PS2,Take-Two Interactive,2004.0,9.43,0.4,0.41,10.57,20.81
Super Mario World,Platform,SNES,Nintendo,1990.0,12.78,3.75,3.54,0.55,20.61
Brain Age: Train Your Brain in Minutes a Day,Misc,DS,Nintendo,2005.0,4.75,9.26,4.16,2.05,20.22
Pokemon Diamond/Pokemon Pearl,Role-Playing,DS,Nintendo,2006.0,6.42,4.52,6.04,1.37,18.36
Super Mario Land,Platform,GB,Nintendo,1989.0,10.83,2.71,4.18,0.42,18.14
Super Mario Bros. 3,Platform,NES,Nintendo,1988.0,9.54,3.44,3.84,0.46,17.28
Grand Theft Auto V,Action,X360,Take-Two Interactive,2013.0,9.63,5.31,0.06,1.38,16.38
Grand Theft Auto: Vice City,Action,PS2,Take-Two Interactive,2002.0,8.41,5.49,0.47,1.78,16.15
Pokemon Ruby/Pokemon Sapphire,Role-Playing,GBA,Nintendo,2002.0,6.06,3.9,5.38,0.5,15.85
Pokemon Black/Pokemon White,Role-Playing,DS,Nintendo,2010.0,5.57,3.28,5.65,0.82,15.32
Brain Age 2: More Training in Minutes a Day,Puzzle,DS,Nintendo,2005.0,3.44,5.36,5.32,1.18,15.3
Gran Turismo 3: A-Spec,Racing,PS2,Sony Computer Entertainment,2001.0,6.85,5.09,1.87,1.16,14.98
